city,genres_list,tags_list,user_id
Maryland,"['Hip-hop & Rap', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Speaker Knockerz', 'speaker', 'Speaker Knockerz', 'speaker knockerz', 'speaker knockerz', 'Speaker Knockerz', 'Speaker Knockerz', 'Hip-hop & Rap', 'Hip Hop', 'Members Only', 'Hip Hop', 'ItWillAllBeOverSoon', 'Members Only', 'Rap/Hip Hop', 'Hip-Hop', 'Rap', 'Hip Hop', 'Juicy J', 'Hip Hop', 'Hip Hop', 'Rap', 'Alternative Rock', 'Hip-hop & Rap', 'Hip Hop', 'Hip-hop & Rap', 'Hip Hop', 'Hip Hop', 'Electronic', 'Electronic', 'loud  ', 'LUSH', 'Desiigner', 'dj Esco', 'TGOD', 'Rich Homie Quan', '1738', 'Rap/Hip Hop', 'G-Eazy', 'Vinylz', 'mad at me', 'Electronic']","['""Eyes Closed"" ""Johnny Yukon"" Gizzle Invincible', '""Snoop Dogg"" ""Murda Beatz"" ""Get Mine""', '""Hip Hop"" Rap ""Good Vibes"" New ""New Music"" Unsigned Independent ""East Coast"" DMV Maryland Trap Producer Rapper 808 Flow Bars Chill Billboard Top40 Token', 'speaker knockerz money', 'knockerz', '""all i know"" ""speaker knockerz""', 'yo racks ""speaker knockerz""', 'n finessin speaker knockerz', 'dap you up speaker knockerz ""dap you up""', '""lonely speaker knockerz""', 'Tory Lanez- Fucking Awesome (Prod. The Mekanics) ToryLanez Torey Tori Tore Toree Torri ToriLanes ToriLanez ToriLane Torry Torie Lane Lanz Lanes Lanez hip hop ""Hip Hop"" rap greatest song', 'torylanez', 'jcole', '""big gigantic"" logic ""Hip hop"" rozes', 'LUSH ""Dance & EDM""', 'LUSH', 'Panda ""Desiigner Rou"" ""Drill Music"" ""Hip Hi"" LOD LifeOfDesiigner', 'Future ""56 Nights""', '""Cabin Fever 3""', '""Fuck Nigga""', 'NeedYouNow', 'HipHop Rap G-Eazy SaySo', 'Borgore Ft. G-Eazy - Forbes (Prod. By & Styles&Complete)']",76718083
miami,['Latin'],['Bachata Vallenato BachatadeAcordeon Colombia RepublicaDominicana CarlosVives Miami ChicoSoto VallenatosUnidos'],53551113
brooklyn,[],[],260489226
Winston Salem,"['Rock', 'Classical', 'Classical', 'Classical', 'Classical', 'Rock', 'Demo']","['sunfold ""kenny florence""', 'Classical ""Derek Arnold"" ""Winston Salem"" ""Winston Salem Symphony"" WSS UNCSA', 'Composer Symphony UNCSA ""Derek Arnold"" Classical ""Winston Salem""', 'Classical ""Derek Arnold"" UNCSA ""Winston Salem"" Piano Sonata', 'Classical ""Derek Arnold"" UNCSA ""Winston Salem"" Piano Voice Shakespeare', 'john custer producer coc dag chris whitley jag studios ""corrosion of conformity""']",85065739
united states,['Pop'],"['""Dance Pop""', 'soundcloud:source=web-record rochelle lim jireh buko cover tagalog fail']",105357326
Los Angeles,"['J-ROD SULLIVAN', 'Liquid Drum & Bass', 'SOULECTION', 'Future', 'Pop', 'Burn', 'Dreamteamstars, ', 'R&B', 'R&B & Soul', 'DJ', 'sway', 'Jazz Gospel', 'UberSoul Productions', 'Wale', 'Future', 'Rap/Hip Hop', 'Instrumental', 'Relaxation', 'Electro House', 'Bryson Tiller', 'NeoSoul', 'Hiphop', 'dEnAuN', 'wildflower', 'Pop', 'Jazz & Blues', 'Hiphop', 'Hiphop', 'Hip Hop', 'Human Music', 'Hip-hop & Rap', 'RichHomieQuan', 'Epic']","['MARIO ""LIVE ARRANGEMENT"" ""LET ME LOVE YOU"" ""KID INK"" ""SHOW ME"" ""CHRIS BROWN"" ATLANTA GEORGIA', '"" UK"" Hitman', 'Justin Patrick Ford', 'Ink EP Ambient Electronic Pop Tusks', 'tyrese ""trey songz,"" omarion ""marques houston,"" ""tay walker,"" ""the internet,""', 'soul sensual slowjams 90 s 00 2013 Bedroom babymaking music vibes old skool maxibaby showdown Sexy great sex R&B RnB Love', '""quiet storm"" R&B jillscott glennlewis joe case weeknd bobbyvalentino qparker sevynstreeter bandojones emanny jakeandpapa lamarstarzz truthturner versesimmonds cassie ryanleslie rnbvibesonly', 'Tyga Wiz Neyo Reason To Hate New summer single dj felli fel fire very hot download sodapop repost', '""the chainsmokers"" Dance House ""Disruptor Management"" Republic', 'Kirk Whalum The Gospel According To Jazz Chapter III Running Away', 'Gospel Jazz Tracks ""Kirk Whalum"" ""Kevin Whalum""', 'ATrak Festivus TAAN EBM MMG', 'Creed ""Metro Boomin""', 'soundcloud:source=android-3rdparty-upload', 'soundcloud:source=android-3rdparty-upload', 'instrumentals ""instrumental music"" ""relaxing music"" ""music studying"" ""study music"" ""work music"" ""soothing nusic"" ""smooth music"" ""light music"" ""slow music"" ""music learning"" ""concentration music"" ""yoga music"" ""sleep music"" ""calming music"" ""background music"" ""easy music"" ""healing music"" ""beatiful music""', '""slow music"" ""peaceful music"" ""calming music"" ""piano music"" ""work music"" ""study music"" ""love songs"" relaxdaily instrumental instrumentals ""relaxing music"" ""music for meditation"" ""music for yoga"" ""spa music"" ""massage music"" ""music for studying"" ""homework music"" ""healing music""', '""Electro House"" ""Felix Cartal"" ""Dim Mak"" ""Dim Mak Records"" ""Free Download"" remix CRNKN', '""How About Now""', 'd angelo bosa nova hiphop remix rework jazz soul heartbreak heart break sound system s soundsystem berlin copenhagen hip hop beat latin', '""sTuFf In My BaCkPaCk"" ""Denaun Porter"" ""Mr. Porter"" ""Eminem Brandon Williams"" ""Grammy Nominated"" ""Grammy Winner"" Detroit Motown', '""Love Apparatus"" World Soul Schwaza JesseBoykinsIII Pop R&amp;b', 'snoopdogg ""Hip Hop"" randb prestonharris love ""terrace martin"" R&B', 'ScHoolBoy Q Blessed ft Kendrick Lamar Prod by (Dave Free) #HnC Drops 1/14/12', 'jazz ""Hip Hop"" music ""preston harris"" ""empire distribution"" ""terrace martin"" 3chordfold', 'Flex Nitti DJSpinz', 'epic legendary music mix intense massive heroic vengeful versus audiomachine hybrid choir ivan torrent two steps from hell epicscore soundtrack versusmusicofficial']",54181906
Towson,"['Alternative Rock', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Hip-hop & Rap', 'XXL', 'FREETAY-K', 'Hip-hop & Rap', 'Rich Chigga', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Hip Hop', 'Hip Hop', 'OXSH!T', 'Hip-hop & Rap', 'Hip-hop & Rap', 'day n night', 'Hip-hop & Rap', 'Rap e Hip Hop', 'Hip-hop & Rap', 'Trap', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Hip-hop & Rap', 'fuckupcunt', 'Rice Balls', 'Hip-hop & Rap']","['""super mario oddyssey"" rap baltimore ""Hip Hop"" mario Rapper xxxtentacion ""chance the rapper"" 1up ""eman the heartbreak"" ""happy halloween""', '""xxl freshman"" ""xxl cypher"" ""xxl ugly god"" ""xxl xxxtentacion"" ""xxl playboi carti"" ""xxl madeintyo"" ""xxl freshman cypher 2017"" ""rich the kid new freezer "" ""smokepurpp ok"" ""lil pump ok"" ""lil uzi vert alone time"" ""xxl freshman cypher 2017 "" ""xxl freestyle 2017"" xxl 2017 ""xxl freshman 2017"" ""Playboi Carti, XXXTentacion, Ugly God and Madeintyo\'s 2017 XXL Freshman Cypher"" ""playboi carti cypher"" ""lil uzi vert loaded "" ""lil uzi vert let you know"" ""lil uzi vert pet"" ""21 savage without warning"" ""migos motorsport"" ""kodak black right now"" ""kodak black snap shit"" ""kodak black down south"" ""lil uzi vert the way life goes remix"" ""ybn nahmir gucci gang ""', 'FREEPIMP TAYK DTX TAYK47 DAYTONA NJ NY', 'Follywood clout yuh aye ""Lil Uzi Vert"" ""Lil Pump"" ""Ski Mask The Slump God"" ""the Weeknd"" ""Travis Scott"" ""Young Thug"" Future ""21 Savage"" Offset Drake ""Metro Boomin"" ""Post Malone"" rockstar ""gucci gang"" ""YBN Nahmir"" ""Rubbin off the paint"" xxxtentacion', 'DEEPSPACE KILLY HOODHOKAGE', 'Deji - Sidemen Diss Track ComedyShortsGamer KSI Ricegum', 'OX MattOX Overwhelming ""Oogie mane"" f1lthy ""Matt OX"" Mattox Realmattox', '""rap #hiphop #liluzi #lilpump ""', 'keemstar dramaalert ""drama alert"" ""Dollar in the woods"" ""dollar in the woods keemstar"" ""leafy disstrack"" leafy leafyishere', '""kid cudi""', 'joji jojibeats jojivlogs ""george miller"" ""joji miller"" ""unsaved info"" extended tvfilthyfrank ""pink guy"" ""pink omega"" ""filthy frank""', 'KILLSWITCH 2020 HOODHOKAGE KILLY', 'hip hop ""Hip Hop"" cloudrap', '""dirty pop""', 'Roderick Porter Potsu im closing my eyes lofi chillhop ""Hip Hop"" Moncton Canada ""New Brunswick"" Biggie BIG Notorious J Cole Kendrick Joey Badass Fredricton NB MF Doom Justin Belliveau ""Moncton High School"" MHS Insomnia', '""Pink Guy"" ""Filthy Frank"" ""Pink Life"" Holder Beat Instrumental Trap', 'gold plug xxxtentacion chill study', 'chill free ""Hip Hop""', 'bape', 'Instrumental', '""lil uzi vert"" ""ugly god"" disstrack ""jake paul"" ricegum rice ""rice gum"" ""ex girlfriend"" ""alissa violet""']",279166996
Savannah,['Hoss Burns'],[],102563860
"Portland, Oregon","['Indie', 'Alternative', 'nathan puls', 'Alternative', 'Alternative Rock', 'Singer-Songwriter', 'franciscosoon', 'Christmas', 'Film Score', 'soundtrack', 'Electro']","['music acoustic spain nathan puls song words life harry potter ripe oranges rubix cubes ussr cows Happy ""nathan puls"" teleportation kids teleportology supershortsongs shortest Audiobook nathanpuls voiceover', '""Electronic Rock""', '""holly drummond"" fade ""diving in"" ""diving in ep"" ""new music"" scottish pop ""Indie Pop""', 'holiday', 'film score', 'Electronic ""Quirk Pop"" Singer-Songwriter Synth Drums Piano Rock Original ""Night Station""']",118554651
western united states,"['Chillout', 'electroswing lounge jazz', 'Rock & Roll', 'Pop', 'Electronic', 'electronic', 'Relax and Chill', 'ChillOut Ambient NewAge Orchestral', 'Piano', 'Pianoforte']","['Instrumental Musik Piano Gitarre Drums Soundtrack Film Cinematic Composition Romantic Epic Klavier Chillout', ""electroswing electro-swing swing minimatic d'angelo rnb acoustic jazz es parovstelar bart&amp;baker cover mashup remix"", 'Electronic Piano', 'Korg iPolysix analog synth melodic electro beat', 'Peace ipad guitar relax chillout Reiki 432Hz', 'Cinematic Underscore', 'piano Soundscape space cinematic ""new age"" ""una corda"" ""six notes"" ""piano soundboard""']",324747293
